image_path,label,class_name,width,height,file_size,is_valid,error,file_hash,perceptual_hash
dataset/helopeltis/image_0_837.jpg,4,helopeltis,256,256,3486,True,,8d6e606c8937492305c7d52c6cf9ae8e28bfbfc28b52d496b63fda49cb2647a4,0000003870600000
dataset/red_spot/image_0_1587.jpg,5,red_spot,256,256,4173,True,,331035dda5d8024c00ae05bbf1271c9b6e84eefac8e518aa9190a689fe19cd34,0000003870600000
dataset/red_spot/image_0_1433.jpg,5,red_spot,256,256,5730,True,,cbec16ca92a611c0e7198274503bf4f29939e60c2b030bc7e82cfafd2741e8e4,000060e0e0700000
dataset/helopeltis/image_0_1772.jpg,4,helopeltis,256,256,4739,True,,f4036d1f6eb3727c30ac288b3483cad0ccf7035f0f38d8c36b6dc13a768202a6,000060e0e0700000
dataset/brown_blight/image_0_1083.jpg,1,brown_blight,256,256,5493,True,,eca97a5b887ba0fce994289836e4d97e19799f081d510a57a013679d9b65ab24,0000c0c0e0e0e0e0
dataset/brown_blight/image_0_4727.jpg,1,brown_blight,256,256,5525,True,,bad442f424a5e6cc4b48da86d0383742fce7afcbd7efbee9a61ccff2be686faa,0000c0c0e0e0e0e0
dataset/healthy/image_0_2934.jpg,3,healthy,256,256,4741,True,,1250cc7372258681d2fb33797bdd47ac1788b2de04ff926407dcec20b8a6dc51,0000e0f0f0700000
dataset/healthy/image_0_3582.jpg,3,healthy,256,256,4710,True,,cfc8700e31467fc5005bee9a94618b43cc08349e86924940b0a3b471d76e4b34,0000e0f0f0700000
dataset/brown_blight/image_0_6243.jpg,1,brown_blight,256,256,5117,True,,a97bb96bd54285d75d3fac5a042d570cb2d08ffdfb8c65d6422908e9bcfd2d5e,000c3c7cf8e0e000
dataset/healthy/image_0_1473.jpg,3,healthy,256,256,5363,True,,cad9bc9503f259cfbaced35daa6370f1ebcacf7c8f34c35c15e2d0e15898c36b,000c3c7cf8e0e000
dataset/helopeltis/image_0_3787.jpg,4,helopeltis,256,256,4117,True,,0738a2942198cb8153ce1c925213a2b8a82a06d8a6fb5d8225300274e99f6be5,003070f0f0300000
dataset/helopeltis/image_0_1074.jpg,4,helopeltis,256,256,4053,True,,c33bd6e2c3c78802857e35bc8678e1ee14b7cef3b9f831b0c92de2179a9dbb13,003070f0f0300000
dataset/red_spot/image_0_1398.jpg,5,red_spot,256,256,5762,True,,d858d98348529d86eddcc6b40174db51d640f2cfacd116b74d025c13aad8fc86,0060e0c0e4781800
dataset/red_spot/image_0_3172.jpg,5,red_spot,256,256,5026,True,,a29c5adf0cc1556ee22721df78f47a23d139986be7806e29776a08317bd6047e,0060e0c0e4781800
dataset/algal_spot/image_0_4113.jpg,0,algal_spot,256,256,5896,True,,0ad24e4bc7297b32616b03cac156e1a820703c7d37f070178159262b58b10d91,0080c0d0e4781c00
dataset/algal_spot/image_0_3901.jpg,0,algal_spot,256,256,5980,True,,fa845949b6ce2750757550a415e9394f91c039856b071d53ef49c4bbeff377e6,0080c0d0e4781c00
dataset/brown_blight/image_0_3920.jpg,1,brown_blight,256,256,5259,True,,f170fb72add51baab839f3727112820f624c57dbcc7d812a828cf8ddcb75fc58,c0c0606078381c0c
dataset/brown_blight/image_0_1232.jpg,1,brown_blight,256,256,5775,True,,07f0262f23c767ea00f74d60b5b8eaa7d0a84898b2a2e25aacbac72d88f2e80d,c0c0606078381c0c
dataset/gray_blight/image_0_1816.jpg,2,gray_blight,256,256,4546,True,,9238fe6d4da23d2be26673cfc87ea6498cf6e77cde682c81e15ea52dcc42256a,ccce78f8c0c8f8f0
dataset/gray_blight/20211228_133446.jpg,2,gray_blight,256,256,4371,True,,52e480fc9d3b3e54c5578c671d6f755596fd33f5e0fcb27390d657c852db1c69,ccce78f8c0c8f8f0
dataset/helopeltis/image_0_1632.jpg,4,helopeltis,256,256,4925,True,,fe8e4aea942ac89f92efd59377bad18ede3b217039f061b30acdc44fb9e97658,fffffbf8e8f9ffff
dataset/helopeltis/20211205_155349.jpg,4,helopeltis,256,256,4468,True,,bb9ac1ccb6d84acc16ad4e76d44e262eab21dc1541dae53df5bf01e72763d789,fffffbf8e8f9ffff
