image_path,label,class_name,width,height,file_size,is_valid,is_small,is_exact_duplicate,is_phash_duplicate,blur_score,brightness_mean,contrast_std,is_blurry,is_too_dark,is_too_bright,is_low_contrast,is_low_quality,error,file_hash,phash
data/dataset/algal_spot/image_0_1379.jpg,0,algal_spot,256,256,6601,True,False,False,False,445.7654876706656,197.4439697265625,86.98316216098651,False,False,False,False,False,,3b72786ea64d0c5233f54f9c299ea992825663e35fa744f91e2a10f05bd99abc,abc0d43f4af025c7
data/dataset/brown_blight/image_0_3580.jpg,1,brown_blight,256,256,5713,True,False,False,False,253.4117116322741,171.2529754638672,58.66441766124373,False,False,False,False,False,,ed4cfc9e131c1181d143c86706cba3f760b4133c9ec956c2cc1cf366936ed01e,f995c2683d96c03d
data/dataset/red_spot/20211227_155948 - Copy.jpg,5,red_spot,256,256,5122,True,False,False,False,102.72050257003866,155.28240966796875,57.398504380185486,False,False,False,False,False,,089b49335ed6262cb6fddbb2f80d0a7aff4c515fe8e55ad0c9c21ac14a22bd99,aad4956a7aa4e19a
data/dataset/brown_blight/image_0_4139.jpg,1,brown_blight,256,256,5144,True,False,False,False,149.82133471569978,181.76687622070312,72.6648693155725,False,False,False,False,False,,51396939146f5d273796cd1159d121d8997916b744a3a334fb570169ab4bec0f,bedec0602f97384a
data/dataset/brown_blight/image_0_3976.jpg,1,brown_blight,256,256,5105,True,False,False,False,197.78861977136694,191.3943634033203,55.82694790286924,False,False,False,False,False,,e02a72bb0bdd6f628cc6e6b5377cbe12d87babfc0a71fff2fc3df9611abb0695,bb99c4e42b1b95e0
data/dataset/helopeltis/20220101_103712.jpg,4,helopeltis,256,256,5416,True,False,False,False,97.46973616536707,166.46092224121094,62.535564822780316,False,False,False,False,False,,634605987731e725974bbbec2535746a7fd7927a8ed428ce54df4fdd1ad88205,eaab95855a5e6161
data/dataset/healthy/image_0_1521.jpg,3,healthy,256,256,4914,True,False,False,False,153.34194943960756,200.42735290527344,67.91875430084487,False,False,False,False,False,,5fe01d8041ec960a648c37e34578a724d8b285fd9375f7a2a78b6b010f276487,e1cf9eb061c3664c
data/dataset/gray_blight/image_0_4049.jpg,2,gray_blight,256,256,6789,True,False,False,False,364.4819488131907,167.15431213378906,74.17243687015127,False,False,False,False,False,,1a238a42694d49a3d9e08bfed6856d643c7c083ab81368d2c063ba4c5f11ea87,aee0c19f38d03367
data/dataset/red_spot/image_0_2621.jpg,5,red_spot,256,256,5660,True,False,False,False,163.9434966368135,173.23072814941406,58.338661160340564,False,False,False,False,False,,69cda6582d427be359edda0ac90a483a2ef02367f5a3637e91d3e1f1b6192595,bef2810d7b72a489
data/dataset/gray_blight/image_0_433.jpg,2,gray_blight,256,256,7316,True,False,False,False,239.55541169270873,140.06373596191406,69.8256114125633,False,False,False,False,False,,272d494ed3d51e79ea999dce140ce88878fa5dd07d089941a6e3c61dcda61230,ff68803fccd017c8
data/dataset/brown_blight/image_0_5998.jpg,1,brown_blight,256,256,4655,True,False,False,False,206.23080439772457,189.2422332763672,68.31566052571134,False,False,False,False,False,,260169a2af00a65970ecdf3edf6a368f3abed985fe732d909fc138bf824f50ea,bfe0c29f3c610396
data/dataset/red_spot/image_0_1618.jpg,5,red_spot,256,256,6167,True,False,False,False,253.0737267723307,171.77359008789062,55.51393193552699,False,False,False,False,False,,9fddf223ecebb5ffecbe6b535e4faf0642a5b2bdd71bf79b3cb4967607169d1d,ad96c2693c9772d0
data/dataset/red_spot/image_0_2152.jpg,5,red_spot,256,256,5625,True,False,False,False,222.74792417511344,168.00721740722656,54.37972652350633,False,False,False,False,False,,4057171a0033169d7bb7c4449e3793678628ce4b0d1709b73a12a9f968d27947,fd4b9a3461c326cc
data/dataset/helopeltis/image_0_13.jpg,4,helopeltis,256,256,4397,True,False,False,False,200.171875,219.2113037109375,70.92769044688022,False,False,False,False,False,,2d6d2d099c01f4eeeac70ddc07e24da9ff928b7055c2c4a65905c948b76f1ca8,bd9ac2613f96e0c8
data/dataset/algal_spot/20211227_130246.jpg,0,algal_spot,256,256,4800,True,False,False,False,234.8175048744306,183.86257934570312,63.85411854885841,False,False,False,False,False,,8b4ae092b6fd1f35b5b78060be17575d539c1c581b3cd89fc4c549e2f6aeed25,fa84953a6ac1b51e
